y,m,d,h,c
2018,2,13,5,43
2018,2,13,6,69
2018,2,13,7,118
2018,2,13,8,331
2018,2,13,9,378
2018,2,13,10,483
2018,2,13,11,822
2018,2,13,12,429
2018,2,13,13,411
2018,2,13,14,452
2018,2,13,15,298
2018,2,13,16,418
2018,2,13,17,356
2018,2,13,18,423
2018,2,13,19,329
2018,2,13,20,374
2018,2,13,21,644
2018,2,13,22,501
2018,2,13,23,223
2018,2,14,0,106
2018,2,14,1,73
2018,2,14,2,81
2018,2,14,3,62
2018,2,14,4,49
2018,2,14,5,58
2018,2,14,6,82
2018,2,14,7,160
2018,2,14,8,188
2018,2,14,9,262
2018,2,14,10,294
2018,2,14,11,306
2018,2,14,12,259
2018,2,14,13,333
2018,2,14,14,457
2018,2,14,15,384
2018,2,14,16,282
2018,2,14,17,322
2018,2,14,18,384
2018,2,14,19,353
2018,2,14,20,371
2018,2,14,21,518
2018,2,14,22,389
2018,2,14,23,180
2018,2,15,0,113
2018,2,15,1,69
2018,2,15,2,89
2018,2,15,3,47
2018,2,15,4,61
2018,2,15,5,80
2018,2,15,6,118
2018,2,15,7,208
2018,2,15,8,257
2018,2,15,9,347
2018,2,15,10,313
2018,2,15,11,557
2018,2,15,12,471
2018,2,15,13,369
2018,2,15,14,520
2018,2,15,15,306
2018,2,15,16,519
2018,2,15,17,271
2018,2,15,18,381
2018,2,15,19,375
2018,2,15,20,422
2018,2,15,21,393
2018,2,15,22,416
2018,2,15,23,239
2018,2,16,0,109
2018,2,16,1,51
2018,2,16,2,39
2018,2,16,3,50
2018,2,16,4,71
2018,2,16,5,78
2018,2,16,6,74
2018,2,16,7,176
2018,2,16,8,259
2018,2,16,9,226
2018,2,16,10,267
2018,2,16,11,376
2018,2,16,12,362
2018,2,16,13,275
2018,2,16,14,334
2018,2,16,15,242
2018,2,16,16,466
2018,2,16,17,765
2018,2,16,18,522
2018,2,16,19,805
2018,2,16,20,536
2018,2,16,21,400
2018,2,16,22,321
2018,2,16,23,236
2018,2,17,0,133
2018,2,17,1,84
2018,2,17,2,57
2018,2,17,3,70
2018,2,17,4,72
2018,2,17,5,69
2018,2,17,6,112
2018,2,17,7,130
2018,2,17,8,209
2018,2,17,9,361
2018,2,17,10,552
2018,2,17,11,281
2018,2,17,12,344
2018,2,17,13,292
2018,2,17,14,334
2018,2,17,15,335
2018,2,17,16,326
2018,2,17,17,406
2018,2,17,18,375
2018,2,17,19,358
2018,2,17,20,440
2018,2,17,21,472
2018,2,17,22,422
2018,2,17,23,391
2018,2,18,0,176
2018,2,18,1,78
2018,2,18,2,85
2018,2,18,3,123
2018,2,18,4,105
2018,2,18,5,97
2018,2,18,6,84
2018,2,18,7,178
2018,2,18,8,206
2018,2,18,9,247
2018,2,18,10,275
2018,2,18,11,369
2018,2,18,12,416
2018,2,18,13,413
2018,2,18,14,423
2018,2,18,15,484
2018,2,18,16,414
2018,2,18,17,419
2018,2,18,18,328
2018,2,18,19,1030
2018,2,18,20,1497
2018,2,18,21,1607
2018,2,18,22,691
2018,2,18,23,337
2018,2,19,0,196
2018,2,19,1,107
2018,2,19,2,61
2018,2,19,3,87
2018,2,19,4,41
2018,2,19,5,225
2018,2,19,6,136
2018,2,19,7,211
2018,2,19,8,222
2018,2,19,9,267
2018,2,19,10,250
2018,2,19,11,252
2018,2,19,12,277
2018,2,19,13,273
2018,2,19,14,299
2018,2,19,15,415
2018,2,19,16,391
2018,2,19,17,357
2018,2,19,18,326
2018,2,19,19,436
2018,2,19,20,419
2018,2,19,21,495
